,標題,時間,作者,內文,留言作者,留言
92,[閒聊] 每次,Sun Oct 14 20:46:14 2018,Yanagi5566 (持續厭世中),"
這是我第一個音樂祭，能夠獻給游牧真的是太幸福了！

場地真的很棒，大大的草皮，不知道是不是特別整理過，覺得很乾淨。好適合躺在草皮上
聽音樂，跟友人們一同聽著喜歡的音樂、野餐，攤販們即使價格沒那麼平價，但是也不至
於踩雷，至少東西是好的。（個人感覺啦）

森林舞台那邊是斜坡，不管離舞台再遠，都能清楚地看到舞台，幾乎不會被遮到視線 XD
就算看不到舞台，左右的大螢幕還是可以看得很清楚。
相較之下的天際舞台就沒有這麼優質的條件，那邊的土地就比較平一點，左右都沒大螢幕
。不過因為我在天際舞台都是離遠遠，坐在野餐墊上看表演，所以沒有辦法清楚的比較兩
邊舞台的差異。

加水站超厲害的，只要有容器都能去裝水，那個設計很有趣，會讓我一直想去玩 XDDD (
意外讓我多喝了點水
好盒器租借容器也好厲害（沒其它形容詞了QQ），只要付押金就能借餐具，使用完歸還就
會退押金，不花錢又環保，真的很推！
因為看到游牧鼓勵大家自備餐具，所以乖寶寶我有自備環保筷跟玻璃吸管，平常在外最擔
心找不到清洗的地方，但是游牧居然有設置洗手台還附洗碗精 QAQ 覺得很貼心！

天氣加分到不行啊！雲好多，沒下雨，天氣陰涼舒爽，超舒服的～
雖然第二天中午是有熱到快昏死，但是很快的又飄來大大的雲了，瞬間覺得被大自然拯救
。

能在大草皮跟大家一起聽音樂真的超爽！平常在密閉空間真的快被汗味熏死(誤)
原先以為自己是嗨不起來的人類，直到聽了茄子蛋才知道原來自己也跳得起來 XDDD
因為場地很寬敞，舞動四肢完全不怕打到別人，因為場地很遼闊，心也跟著OPEN了！

-
這次樂團安排完全不打架，平均一團差不多表演40分鐘左右，有很充裕的時間讓大家換場
。每次換場都會看到游牧人們草原大遷徙，一大坨人愜意的遊走在草皮上，個人超喜歡這
種感覺的，意外地非常療癒。果然有些事情要經過歲月的洗禮才會感受到，才會倍感珍貴
。

-
如果真說要有什麼缺點，就是我覺得廁所的味道太銷魂了 XDDD

-
連樂團表演心得都打的話，我這篇文章好像就太落落長了 XD

有想到再補好了。

想到好多樂團在演出中都很感謝游牧森林音樂祭的主辦方，因為有參與其中，所以覺得他
們不是講客套話。這個音樂祭真的很棒！雖然我沒有參加過其他音樂祭，無從比較，可是
我也真的、真的很感謝游牧森林的主辦方跟工作人員，下屆一定要再參加！
-
補個樂團心得

Staycool
第一次聽到，超讚的！超適合游牧的開場！主唱唱完還要趕場去隔壁舞台當咖啡大賽評審
 XD
主唱說游牧有他最喜歡的咖啡和音樂，人生還需要追求什麼呢？
完全能懂啊！幸福就是這麼簡單，夫復何求？

魏如昀
唱聽見下雨的聲音如果真的下雨，絕對秒變神曲，結果在唱的時候居然是出太陽。
We will rock you超抒情的，我搖滾不起來，比較想喝一杯 :p

PiA
說要出專輯但是沒錢 XDDD
應該是喝多了，超多可愛的發言
只是我忘記她說什麼了(掩面

茄子蛋
第一次聽到蛋蛋現場，朋友說台味十足，但是我真的愛死這味了！聽到「我若是有來生，
我想欲變成你」還有現場版的口白！我真的快笑死 XDDD

怕胖
抄你媽的筆記本超15禁的
不知道會不會有家長臉囧掉哈哈
看到一半就超多人趕場去滅火器
還好留到最後有抄你媽的筆記本，爽啦

滅火器
現場超像社運場合
「沒有人是局外人」「自己國家自己救」等等的毛巾都出來了XD
還有大正呼籲大家最重要的兩好三壞絕對要站出來投票
後來還有唱晚安台灣
不知怎的有點鼻酸

草東
不管聽幾次都著迷
我旁邊的路人男子唱歌超嘶吼
於是我也跟著扯開嗓子唱
有夥伴一起唱超開心 ;D
最後沒有安可但是主辦方的先生出來提油滅火(誤
說我們殺久一點，讓其他人可以先回家XD

很喜歡主辦方講話的調調，沒有要給你希望的意思，現場人很多、等接駁的人很多，絕對
不可能沒有等到啦！！！

告五人
粉專有PO一張照片說：至今為止唱過最美的風景
然後在幽美景緻的背後就是被曬傷的我 (暈
不過有哈密瓜吃，可以的！
還有唱愛人錯過、短髮妹子等等等
都好喜歡呀 (((o(*ﾟ▽ﾟ*)o)))

麋先生
唱小朋友分紅海的時候沒有跟到！我哭
那時候我在排隊買酸梅 > <
聖皓口誤說成游牧民族音樂祭 XD
真心覺得麋先生的歌超適合音樂祭跳起來的

法蘭黛
法蘭姐姐我女神，花若離枝好讚
意外發現鼓手老師好帥
後半場視線幾乎都在鼓手老師身上(X

猛虎巧克力
雖然生活得很厭世，但還是會聽著充滿希望的歌嗚嗚
下次我也要撞起來！

Hello Nico
第一次看覺得驚為天人
荒蕪唱得我雞皮疙瘩掉滿地
從此被圈粉


之後趕車回台南就沒看了QQ
好想看眾神護台灣啊

-
這次住永樂園青年旅館，三人2000摳超便宜！
我入住時對面房唱草東唱超大聲，差點在房外跟他合唱 XDDD

-


--
","['ashianQQ', 'DoHuaYu', 'tncshes83', 'superhua', 'hsnufuji', 'ck10200503', 'Moshiba', 'Moshiba', 'mark861121', 'mark861121', 'mark861121', 'mark861121', 'mark861121', 'mark861121', 'mark861121', 'mark861121', 's916813', 'jo850346', 'jo850346', 'courge1138', 'kazuma2010', 'kazuma2010', 'squidsoup', 'john52795', 'john0liang', 'andy6868188', 'jo850346', 'jo850346', 'jo850346', 'CKSCleader', 'easycat', 'themask7742', 'playjoy', 'themask7742', 'ericyo', 'ericyo', 'jaclyness', 'jaclyness', 'jaclyness', 'jaclyness', 'attackJ', 'attackJ', 'attackJ', 'cmyu', 'THPZ02', 'fordayever', 'alice645845', 'alice645845', 'sate1128']","[': 一起再等2年嗚嗚嗚', ': 推游牧', ': 推！很爽！', ': 除了接駁車的指示可以再清楚一點以外真的玩的很爽', ': 要求自備環保餐具，主辦單位提供清洗處不是應該的嗎', ': 推 本來前幾天看到不能帶食物以為很雷 結果超讚的', ': 推一下 聽得滿舒服的 然後我本來想說RFID手環 好先進喔', ': 結果換完手環發現 根本用不到啊 XD', ': 真的超讚 從節目單垃圾袋到餐具租借各種小細節都有很', ': 用心的感覺', ': 等接駁車的人真的爆炸多 但是車其實來得很快意外得比', ': 想像中的還快很多！', ': 舞台草地的前低後高真的很讚 後面很清楚', ': 唯一的問題大概是廁所有點恐怖（？！和可能會有人沒買', ': 票溜進來聽音樂XD', ': 總體而言真的超讚的！', ': 第一天完全沒人驗手環一堆人沒手環也可以進來其實蠻不ok', ': 這次終於沒感覺排到隊就進場了，原來是沒在驗票XD', ': 大港跟覺醒就排到罵髒話', ': 加水站有什麼好玩的@@？？？？', ': 就是檢查包包那文被幹翻 才乾脆整個放 拉回來吧', ': 排隊音樂祭放在最後才考慮 現在太多選擇了', ': 加水站明明就超好玩！！！超愛的', ': 真心推 質感很好 屌打威卡', ': 推心得文！', ': 推炸 我也是第一次音樂季 不想面對真實生活了', ': 昨天董事長樂團還讚歎舞台媲美Fiji Rock，以後你參加別', ': 的音樂祭可能會覺得太簡陋落差太大，不過我還是都會去', ': 參加啦(可以聽到更多團)~', ': 推推 游牧的主視覺很讚 整體感覺也很舒服 期待後年', ': 門口那個根本複製Fuji', ': 哇有負評就刪留言欸真ㄉ是好棒棒', ': 手環集點那個是有消費就能集點,滿一定點數就能參加抽獎', ': 看來是網路問題，雖然有瑕疵但內容還是不錯的。', ': 這場地真的屌打台灣所有音樂祭 主辦也很用心 超推 昨天董', ': 事長找媽祖進場那段很感動', ': 董事長有媽祖鑾轎那一段真的超狂！而且鑾轎再最後結束', ': 的時候還開放給大家鑽轎底', ': 遊牧真的太棒了！環境音樂氛圍工作人員等等都非常用心', ': ，覺得胃口被養刁鑽了！', ': 發現在教育學院有開放廁所，比較乾淨衛生，還有保全', ': 離天際舞台大概五分鐘步程', ': 也有投飲料機跟ATM', ': 真的很棒，玩得很開心！', ': 好好玩～～～～', ': 接駁車問題滿多的 一直看到志工在當坦', ': 孟諺超級帥！！！打鼓整個超投入，每次看法蘭黛眼睛', ': 離不開他XD', ': 要等兩年！？']"
93,[心得] 游牧森林音樂祭,Sun Oct 14 23:55:23 2018,SuperRoMay (圓子大神),"

s


1.徵/售/換/贈：售


2.交易項目：Go slow 北場 deca joins


3.交易價格：500


4.交易時間：晚上


5.交易地點：迴龍到台北橋站之間都可以


6.備註：手滑買錯了 多一張票 用雙人票的價格賣掉 輔大同學或學長-50

-----
Sent from JPTT on my iPhone

--
",['ann141414'],[': 賣掉了嗎']
94,[交易] deca joins 單人票 北場,Mon Oct 15 11:46:06 2018,simoncat224 (賽門二二四),"
先說結論 遊牧真的辦的很成功
跟其他音樂祭不一樣的是
第一攤販很有質感雖然東西偏貴
但是吃的賣的都有篩選過
不會有一種隨便哪來的攤販

第二場地超大
雖然舞台只有兩個 但是幾乎都是演唱會等級的大小 所以環境你想要跳起來或是在後面坐
著聽都不會看不到聽不清楚

但是也因為舞台大 所以要到比較偏僻的地方 如果沒有停車證而且搭接駁車一定是非常累
人

第三是其他活動也很多
熱氣球可以搭乘 街頭藝人表演
還有吊床可以睡 免費的加水站
一般的音樂節只會著重在吃跟音樂上
但是遊牧讓人感覺不只是音樂與飲食上

雖然滅火器表演的時候不知道是不是音控把聲音關了 全部只剩下台上的他們自己要聽的
聲音還在 這麼誇張的事情

但是瑕不掩瑜 這次活動辦得很成功
期待下次

--
","['SolarSoul', 'SuperRoMay', 'jaclyness', 'jaclyness', 'jaclyness', 'jaclyness', 'themask7742', 'themask7742', 'themask7742', 'bluexox', 'playjoy', 'playjoy', 'SolarSoul', 's916813', 's916813', 's916813', 'blacksword08', 'as259678', 'playjoy']","[': 在滅火器之前音控都不錯 當下有點尷尬', ': 我看到有家長把吊床當盪鞦韆...超危險的QQ', ': 推～遊牧真的辦的很成功也很有質感，而且我覺得參加的', ': 樂迷也很有素質，環境保持超乾淨，當然請來的樂團都是', ': 一時之選超級棒！我是租借摩托車上山，所以早早就入場', ': ，沒遇到大排長龍～然後 場地真的挑的很好！', ': 推樂迷素質，比威卡好太多了', ': 威卡一堆人亂丟煙，垃圾滿地到處都是', ': 遊牧我沒看到任何垃圾', ': 遊牧有給垃圾袋超讚（還設計的很漂亮捨不得用', ': 不好意思借標題問下^^有版友知道昨天IMU唱的最後一首歌歌', ': 名叫什麼嗎?貌似沒收錄在專輯裡?', ': 同求樓上 （為什麼沒能死寶貝呢）', ': 滅火器只有內場的時候應該是應該是在試音吧正式演出外場', ': 都有開啊', ': 覺得很多團外場的聲音其實蠻糊的', ': 雖然奔跑往返舞台到缺氧但很棒！', ': IMU最後一首好像是M', ': 感謝樓上大大的解答,不過這首怎麼沒收錄在專輯裡呢?']"
95,Re: [心得] 游牧森林音樂祭,Mon Oct 15 12:41:37 2018,slaughter99 (殺戮是最好的解藥),"


1. 售：愛愛搖滾帳篷音樂祭


2.交易項目：早鳥盲鳥票1張


3.交易價格：888


4.交易時間：站內信


5.交易地點：台中火車站附近/中國醫附近


6.備註：臨時有事不能去了嗚嗚


--
",[],[]
96,[交易] 售愛愛搖滾帳篷音樂祭 盲鳥票,Mon Oct 15 16:29:22 2018,heepon (彭彭),"



1.徵/售/換/贈：售


2.交易項目：2018LUCfest貴人散步音樂節11/30~12/02早鳥優惠票X1


3.交易價格：NT$890


4.交易時間：站內


5.交易地點：大橋/舊台南市區


6.備註：因為三天都突然有事情不能去，只好賣出ＱＱ
意者站內喔


--
",[],[]
97,[交易] 售/台南貴人散步音樂節早鳥票(洽中),Mon Oct 15 21:26:37 2018,Bittertabby (地癒倒梅貴),"


1.徵/售/換/贈：徵


2.交易項目：10/24金音創作獎亞洲音樂大賞1張


3.交易價格：


4.交易時間：線上


5.交易地點：線上

6.備註：跪求一張票Orz

--
","['nemnemo', 'blue1818', 'blue1818']","[': 28的要ㄇ', ': 謝謝一樓！目前只需要24號的。手邊有27號頒獎典禮的票，', ': 歡迎換票']"
98,[交易] 徵10/24金音獎一張,Mon Oct 15 22:39:04 2018,blue1818 (Sky),"
「我們是跟隨音樂移居而活的游牧民族。」

今年截至目前為止個人參加了三場音樂祭。

分別是

大港開唱 人生的音樂祭（X） 排隊的音樂祭（O）

覺醒音樂祭 （愈做愈大，門票愈來愈貴的音樂祭！？但還是期待大暖祭啦。）

游牧森林音樂祭 （差點禁帶外食的音樂祭！？ 魔落魔音樂祭！？）

三者相較之下，個人是覺得 游牧 這個辦第一屆的 相較辦十屆跟九屆的，真的很成功。

最讓我覺得要讚賞的是，主辦單位一再，在可能會衝撞的表演開始之前。

都會一再告知現場的觀眾，在搖滾區內請收起野餐墊，並且要注意安全。

其實我一直覺得這是很重要的一件事，近年來衝撞已經成為一種風潮。

但是，很多第一次來的新觀眾一定不知道這種文化，主辦單位主動宣導是很棒的一件事！



另外，首先要跟大家致歉，

這次我因為自己想好好的看表演，所以就沒有規劃「內地」服務啦。

希望大家都能夠在板上以及相關的群組，認識看團的好夥伴啦！




以下來說說看各團表演的心得或介紹，

除了 SAIRU BAND 跟 PiA 我都看了。




STAYCOOL

表演的時候，說台下的觀眾看起來一臉黃玠臉，真的很好笑。

到後來還說黃玠是大他一屆的中興學長，可不可以喜歡黃玠也順便喜歡 STAYCOOL 。

真的很有趣。



黃玠

他一上台我就大喊 MC黃 ，結果他居然跟我說今天沒有。 QQ

很快的提到嘻哈專輯，時候未到。但自己最近很認真在學習嘻哈的各種手勢！

只是他覺得自己做起來都很猥褻。 \⊙▽⊙/ \⊙▽⊙/ \⊙▽⊙/

在唱《放個假》的時候，也呈現了他練習的成果，果然是笑料滿點，莫名的很猥褻。



MARLEYS

根本是不停歇的帶動唱樂團，很有趣，但老人家我實在跟不上那麼多的動作。



魏如昀

只能跟她說辛苦她了。 QQ



茄子蛋

表演的時間太短了。現場的新觀眾們實在亂喊一通，到底是在喊三小...。

但是還是為茄子蛋感到開心，「感動落淚！」。



怕胖團

好奇現場多少觀眾聽過現場的「抄你媽媽的筆記本」！ XDDD



滅火器

想請問火種們怎麼沒有揮舞火旗呢？滅火器的現場沒有看到火旗還真有點不習慣。

明年還請大家買爆「火球祭」的門票！！！

希望依舊是全台最爽的冷氣場音樂祭！轉個身就繼續看下一團演出真的是超爽的！



脫拉庫

大叔們就是很好笑。

女觀眾在台下故意嗆聲，說要去看草東。

張國璽直接回嗆：

叫你媽媽帶你回去換衛生棉



大叔們的激情四身寸！

插！

https://i.imgur.com/hy4eldA.jpg

脫拉庫 加上

台中表演場的固定嘉賓，老諾（X）台中阿信（O）以及技安（這次的舞台音控兼主持）。

https://i.imgur.com/tnHkRKp.jpg

張國璽與老諾

https://i.imgur.com/XPqedXl.jpg

共握一支麥克風

https://i.imgur.com/n0bc9Gm.jpg

深情對望

https://i.imgur.com/nc2pEjH.jpg

忘記在 HIGH 什麼

https://i.imgur.com/imU5Met.jpg



草東沒有派對

這次沒有變魔術！（差評）

「殺了它 順便殺了我 拜託你了」



告五人

昨天一定是眼殘跟腦殘，才會在團序上沒看見告五人。

告五人可是我這次最前面看的一團呢。

一如往常的大合唱就是很開心，可惜沒有講笑話。

補上一些照片，

https://i.imgur.com/FgBew05.jpg

https://i.imgur.com/vXrReg0.jpg

https://i.imgur.com/uew4jjP.jpg

https://i.imgur.com/AML8hbp.jpg

https://i.imgur.com/g82ywax.jpg



麋先生

綜藝團無誤，連鐵粉都是綜藝咖！



I Mean Us

太適合在野餐墊上吃著午餐一邊聽了。



法蘭黛

法蘭姊姊，我喜歡你！

https://i.imgur.com/uLCH0vo.jpg



猛虎巧克力

個人好一陣子沒有看到猛虎巧克力的現場演出了！

從之前宜農要求之後，現在「給奇怪的你」已經變成衝撞歌曲了！ XDDD

以下合照，請原諒我長得不帥。 (￣ー￣)

https://i.imgur.com/B1q346t.jpg

妤安，好可愛！

https://i.imgur.com/cycNAbY.jpg



Hello Nico

怎麼可以唱得這麼難聽。主唱到底喝了多少？嗑了什麼？到底在幹嘛？（X）

詹宇庭正常發揮。（O）

看女鬼表演就是抒壓！

https://i.imgur.com/z1MBUcT.jpg

https://i.imgur.com/uf6MENF.jpg

https://i.imgur.com/HAZ0XDX.jpg

https://i.imgur.com/FAGJT2S.jpg

https://i.imgur.com/yddIGJR.jpg


先知瑪莉

新北市政府認證的「尷尬搖滾」。

先知瑪莉考街頭藝人被打槍：無法吸引人群目光！？

https://wp.me/p7FYnD-3dL



董事長

超帥的吉董！

https://i.imgur.com/4mR1OjW.jpg

眾神護台灣 實在太酷了！

我有把它錄下來！

https://youtu.be/HmvumksbjDg

最後點歌，我瘋狂大喊「假漂泊的人」，最後唱了，真的太爽了！




廢文寫完了。

等等來寫徵文大放送！

--
歡迎來 nmsmusic 非主流音樂板 發心得文賺P幣！
https://www.ptt.cc/bbs/nmsmusic/

創了可是沒什麼在經營的粉絲專頁：
https://www.facebook.com/PTTnmsmusic/

--
","['THPZ02', 'pineapple824', 'SuperRoMay', 'SolarSoul', 'SolarSoul', 'iwaa0204', 'mark861121', 'bluexox', 'bluexox', 'playjoy', 'ericyo', 'ericyo', 'john0liang', 'kazeho', 'ericyo', 'ericyo', 'j19741123', 'bsw555', 'yayzh', 'SolarSoul', 'CKSCleader', 'blacksword08', 'bonbonchen', 'todoke', 'playjoy', 'susukkk', 'kb24leo', 'kb24leo', 'sate1128', 'mono1710', 'mono1710', 'mono1710']","[': 哇....好仔細', ': 詹宇庭正常發揮', ': 第一次看就被詹宇庭圈粉（O）', ': 是第二屆啦哈哈哈哈', ': 抱歉 第一屆好像是沒有音樂 尷尬（抓頭）', ': 喜歡這樣的文章風格！魏如昀怎麼了啊哈哈', ': 不知道為什麼茄子蛋的表演時間這麼短QQ', ': 愛上詹宇廷了', ': 但我覺得茄子蛋行程太操了阿斌狀態很不好', ': 宇庭正常發揮 不過游牧這場好像比較鏘一點', ': 看過很多次現場這次真的ㄎㄧㄤ出新境界 好幾段宇庭用吼的', ': 超嗨 不過花倒是穩穩唱讓那些質疑她現場的人沒話說', ': 撿到五塊錢，超爽的！', ': 抄你媽媽的筆記本聽過許哲珮現場版（舉手）', ': 撿到ic晶片ㄏㄏ（丟）', ': 撿到五塊錢ㄏㄏ（丟）', ': 魏如昀唱we will rock you真的讓人聽得很尷尬', ': 告！五！人！呢！', ': 哈密瓜！！！', ': 好想再看宇庭撿到五塊的畫面ㄛ', ': 跪求五塊錢超爽der影片！！！', ': 撿到五塊錢的是你！！！', ': 唯一缺點是導播一直超密集的切換畫面', ': 大螢幕一直切換畫面眼睛很花@@', ': 宇庭: 你們晚上會不會搭帳篷? 我也好想要搭帳篷', ': 沒去游牧只能推火球祭全臺最讚！', ': 給奇怪的你自從兩三年前宜蘭言論自由節就變衝撞歌曲了哈', ': 哈哈哈', ': 看完心得好想去喔', ': 檢討活動的疏失絕對可行 但演出名單越請越好，門票漲價', ': 是合理的吧？所有工作人員和演出人員才會有相當正常和健', ': 康的報酬']"
99,[心得] 游牧森林音樂祭,Mon Oct 15 23:18:49 2018,john0liang (約翰想變強),"
如題！

我個人覺得兩位板主都只會發廢文真的很廢！

然後，之前又耍智障一直申請P幣失敗！更是失敗！


為了不讓板上被交易文繼續洗板，只好來大放送我個人之前多買的一大堆東西了。

雖然本來就是要多買來送大家的！



以下放送

https://i.imgur.com/yXsM0aP.jpg

https://i.imgur.com/GO3fmQ4.jpg

https://i.imgur.com/vjjX9P0.jpg

https://i.imgur.com/sVlkPzF.jpg

https://i.imgur.com/oEEXERv.jpg

https://i.imgur.com/8Ruiv9K.jpg

https://i.imgur.com/EVmqUiS.jpg

https://i.imgur.com/IKtGn7U.jpg



獲獎方式，設定稍微有點麻煩好了。

請先幫 PTT nmsmusic 按個讚 （抱歉，老人家不太會玩 IG 。）

https://www.facebook.com/PTTnmsmusic/

分享這篇廢文

https://goo.gl/4kb6Sd

在板上發表一篇心得文或自介文！

https://www.ptt.cc/bbs/nmsmusic/

我會依照板友發表的內容，選出物品最適合贈送的板友！

活動期限到選舉當天結束！

大概就是這樣，獎品我不會寄送給你，會在活動現場，我親自或找人拿給你。

--
歡迎來 nmsmusic 非主流音樂板 發心得文賺P幣！
https://www.ptt.cc/bbs/nmsmusic/

創了可是沒什麼在經營的粉絲專頁：
https://www.facebook.com/PTTnmsmusic/

--
","['iwaa0204', 'john0liang', 'SuperRoMay', 'stacysha', 'john0liang', 'buzzmumu', 'jeudionemore', 'buzzmumu', 'Yanagi5566', 'Yanagi5566', 'enzyme', 'peowe161', 'dragxx', 'GossipPicket', 'GRAYPOINT', 'shadowmamba']","[': 推第二句很敢說哈哈哈哈哈', ': 事實陳述啊。 XD', ': 優文發一波！！！', ': 我發文都很優質啊!(自己說)', ': 五樓專發廢文！', ': 推佛心板主', ': 推版主用心良苦', ': 補推，樓上小宜農', ': 推佛心', ': 真的 八卦版都是我的廢文www', ': 推推推！', ': 推一個！哈哈哈哈', ': 幫忙推～可是自己不喜歡分享文章或是留言標記之類的事情', ': #1RsnOf11這篇可以當心得文嗎XDDD', ': 總算趕上了……板主威武！（可以趁機許願嗎？XDD）', ': 為了優質獎品每次看完表演都發心得文！']"
100,[贈獎] 可不可以多一點優質文章！,Tue Oct 16 01:07:42 2018,john0liang (約翰想變強),"

第一次參加音樂祭，基本上是什麼都不懂的就跑去了
沒帶野餐墊沒帶毛巾我蠢到連防曬也忘記擦回來直接紅到脫皮
但跟很多人的想法一樣，游牧辦得太好胃口大概是要被養壞了XD
很享受草原跟大家一起遷徙的感覺，而且參加的人秩序也真的很好

連排隊這件令人不耐的事情也輕鬆許多
可以聽到前後的人聊著音樂表演樂團而不是各種抱怨
攤販們也都特別有趣，在排一個碳烤吐司的時候，人實在太多了，快到我們的時候我開玩笑跟朋友說「欸老闆看起來好厭世」剛好被老闆聽到回報我一臉苦笑，我就說「老闆加油」，結果老闆放下手中的夾子跟我一起乾了一杯XDDDDD

垃圾分類這件事情也是，不是放個垃圾桶在那裡讓大家隨便丟，而是一個個分類好每個分類還站有工作人員指示，以為像這種大型活動一定會出現的垃圾桶滿出來啊，垃圾桶旁邊被丟得像是另一個垃圾場阿，都沒有。
是一個認真講究環保愛護環境享受大自然跟充滿感謝的活動。

至於表演的各個樂團有多優我就不說了
每個團每首我想聽的歌幾乎都聽到了，還能跟這麼多人一起吼 殺了它順便殺了我 潮爽der

落落長的全都是誇獎，希望大家多鼓勵肯定他們啦

-----
Sent from JPTT on my iPhone

--
","['SuperRoMay', 'hcl1007', 'SUJO', 'andy6868188', 'john0liang', 'todoke', 'THPZ02', 'THPZ02']","[': 草東大合唱超爽!!!! 認真做資源回收也超感人的QQ', ': 碳烤土司的老闆那兩天都從6、7點就開始忙了', ': 推', ': 推 遊牧整體真的很讚', ': 我也曬傷了，以後還是乖乖做好防曬好！ QQ', ': 推資源回收！！有人協助分類而且寶特瓶蓋也有分開太細心了', ': 哈哈我排碳烤吐司的時候一直聽到他們暗自罵髒話', ': 又熱又操！他們看到大排長龍真的超厭世']"
101,[心得] 游牧森林音樂祭,Tue Oct 16 10:54:03 2018,yayzh (yayzh),"
第一次參加志工就獻給遊牧音樂祭了
不過跟自己實際想像的，可以在空班時間聽團的幻想實在差太多了ＱＱ
前夜祭的時候下班時間跟洗澡地方的開放時間一樣讓我超傻眼
後來是靠在音樂祭認識的在地朋友幫忙才能一下班就有澡洗，感謝兩位大大
洗完澡因為沒事就去聽草東的彩排了

第一天的排班根本慘不忍睹，基本上就是沒有排班
口頭上說做四休四，但因為沒有排班所以也不知道誰要跟誰交班
然後早餐似乎也沒跟攤販談好所以進度很慢
還沒吃到早餐的我就被送到大門去支援了
兩位組長從早上就一直忙到中午都沒休息吃飯
所以在便當來的時候就先頂他們位置讓他們先吃飯，真是辛苦二位了
吃飯途中也不停地為有問題的民眾解惑
長時間值班又找不到人交班的情況下，就自動下班了兩個小時半ＸＤ
然後群組就有人表示人手不足，只好繼續上工到晚上
最後一團草東把人群都吸引走，所以事情比較少
我也跟風聽了幾首然後又去支援交管直到快12點才洗到澡
這邊要感謝學校工作人員加班讓我們可以洗澡ＱＱ

第二天因為前一天的教訓，讓我們學乖了
自己內部排班且制定空班人員有不必支援的免死金牌
各崗位也都熟悉自己的工作內容所以需要的支援也沒前一天這麼多了
才可以享受到聽團的樂趣

雖然一直都很忙很忙但也是玩得很開心，辛苦各位主辦、機動組的夥伴還有所有志工
謝謝你們讓音樂祭順利結束

特別感謝在地的朋友幫忙還有豆花跟咖啡
大暖季等你們上來玩啦～台北豆花也很棒

感謝大家的回覆，希望不管在哪個音樂祭看到志工都可以說一句辛苦了
當過才知道累～

ＰＳ 沒聽到怕胖的魚好想哭ＱＱ

--
","['zhan860127', 'yayzh', 'john0liang', 'ericyo', 'SolarSoul', 'baiiifx', 'br791203', 'CKSCleader', 'SuperRoMay', 'shadowmamba', 'buzzmumu', 'blacksword08', 'bluexox', 'mn791088', 'gipo776', 'mark861121', 'andy6868188', 'susukkk', 'susukkk', 'THPZ02', 'fordayever', 'kazuma2010', 'kazuma2010', 'SuperRoMay', 'jeudionemore', 'wqe4r3sdf', 'wqe4r3sdf']","[': +1 吃素gg 不懂表單填素食的用意r', ': 推推', ': 辛苦了！', ': 推推辛苦了', ': 辛苦了！總覺得志工是最累的', ': 機動B組偷偷推', ': 要怎麼應徵志工啊求解XD', ': 推推 辛苦了', ': 難怪我第一天在門口看到指揮交通的妹阿問有沒有人換班', ': 真的辛苦了！！', ': 謝謝辛苦的志工們!!!', ': 辛苦了！！！', ': 辛苦了！！！有你們音樂祭才這麼順利', ': 辛苦了～感謝你們', ': 辛苦了', ': 推 辛苦了 感謝你們！', ': 辛苦啦', ': 這樣看來巨獸在照顧志工方面做得不錯（？不懂為啥沒排班', ': @@', ': 辛苦了！！！', ': 辛苦了', ': 真的是在虐待志工 比大學社團活動還糟糕...', ': 沒有排班這種事情 怎麼可能發生 匪夷所思', ': 沒有排班真的很詭異.....', ': 推個辛苦的志工', ': 親自出馬沒有排班 沒有把混亂理順 這才更詭異阿...', ': 商業方面到是非常在行 贊助一大堆 最基本的反而...']"
